acct_nbr,cust_id,acct_type,account_active,acct_start_date,starting_balance,ending_balance
000000001363413217,23178021,CK,Y,1995-06-17,160.770,408.611
000000001363288320,27265760,SV,Y,1994-05-23,7243.758,1738.435
000000001362586210,13625860,CK,Y,1995-10-21,318.744,1173.150
456114321363316416,21813056,CC,Y,1993-08-11,2388.023,1020.000
456114321362839411,14991229,CC,Y,1992-06-01,6917.672,18539.738
000000001362486215,20437290,CK,Y,1994-08-24,11481.453,16892.577
000000001362781216,21804496,CK,Y,1995-08-26,1302.837,289.820
000000001362643317,23164931,SV,N,1992-02-27,154.780,1534.004
000000001362709319,25891471,SV,Y,1995-09-08,604.260,2843.723
000000001363316321,28629636,SV,Y,1995-04-14,339.040,588.060
000000001362902322,29983844,SV,Y,1990-11-11,203.390,14147.861
000000001362505215,20437575,CK,Y,1994-03-11,338.472,59.670
000000001363147323,31352381,SV,Y,1987-11-13,2189.010,1242.380
000000001362939211,14992329,CK,Y,1995-07-15,1305.300,8345.680
456114321362556413,17713228,CC,N,1992-01-20,8747.034,44.600
456114321363370415,20450550,CC,Y,1993-04-27,795.744,3807.660
000000001362928217,23169776,CK,Y,1995-01-15,155.140,11.780
456114321363173415,20447595,CC,Y,1994-07-09,934.038,7140.000
000000001363265210,13632650,CK,Y,1995-12-15,6214.748,3623.355
456114321362894420,27257880,CC,N,1994-03-06,10354.278,13064.000
456114321363414410,13634140,CC,Y,1992-08-29,509.599,909.585
456114321362820416,21805120,CC,Y,1992-11-30,12434.875,4251.590
000000001362512210,13625120,CK,Y,1993-01-25,5333.243,5831.685
000000001362605222,29977310,CK,Y,1994-05-21,281.721,71.344
000000001363444212,16361328,CK,Y,1994-01-23,198.408,143.262
000000001363184215,20447760,CK,Y,1995-10-01,873.990,381.837
000000001363234214,19085276,CK,Y,1989-12-21,517.160,127.879
000000001362734316,21803744,SV,N,1993-08-20,1347.601,458.530
456114321362969411,14992659,CC,Y,1992-08-14,4861.131,18620.000
000000001362887310,13628870,SV,N,1991-05-10,1124.610,19183.185
456114321363422416,21814752,CC,N,1992-10-24,5493.541,40.000
000000001363150315,20447250,SV,Y,1991-09-09,632.583,1888.122
000000001362744319,25892136,SV,Y,1987-08-02,573.930,5571.382
000000001362941310,13629410,SV,N,1990-08-01,283.385,3947.130
000000001362995222,29985890,CK,Y,1995-09-22,420.090,18266.703
000000001363169314,19084366,SV,Y,1991-07-10,212.156,630.662
000000001363342316,21813472,SV,Y,1993-04-17,869.085,77.960
000000001362550312,16350600,SV,Y,1995-03-27,766.404,1024.317
000000001363238322,29991236,SV,Y,1991-07-11,208.461,1750.749
000000001363441310,13634410,SV,N,1986-08-05,225.207,2615.805
000000001362868218,24531624,CK,Y,1993-02-15,294.430,696.040
000000001363405211,14997455,CK,Y,1995-02-27,452.390,1688.148
456114321363459416,21815344,CC,Y,1995-10-14,0.000,3020.000
000000001363333317,23176661,SV,Y,1993-07-28,704.350,5878.220
000000001363250220,27265000,CK,N,1991-09-21,4537.923,1828.108
000000001362572218,24526296,CK,Y,1994-06-16,273.500,88.970
456114321362722411,14989942,CC,Y,1995-01-19,0.000,7199.178
000000001363294311,14996234,SV,Y,1994-06-06,1408.375,3742.620
456114321363195412,16358340,CC,Y,1995-11-14,0.000,2100.000
456114321362605414,19076470,CC,Y,1991-01-11,987.294,4100.000
000000001363297210,13632970,CK,Y,1992-03-05,622.725,176.580
000000001362611218,24526998,CK,Y,1987-08-22,391.810,448.310
456114321363361414,19087054,CC,Y,1994-06-17,1189.118,1895.348
000000001363410218,24541380,CK,Y,1994-09-30,3613.440,95.130
000000001363433215,20451495,CK,Y,1993-06-08,6830.406,5891.775
000000001363098210,13630980,CK,Y,1995-05-25,5461.683,79.695
456114321363297419,25902643,CC,Y,1990-02-15,3625.650,210.242
456114321362980413,17718740,CC,Y,1992-09-19,657.641,1143.388
000000001362830312,16353960,SV,Y,1992-01-14,285.456,74.928
000000001362492213,17712396,CK,Y,1995-04-23,31119.760,1299.689
000000001362968211,14992648,CK,Y,1990-08-17,375.326,998.669
000000001363086310,13630860,SV,Y,1994-03-12,366.149,5386.275
000000001363158219,25900002,CK,Y,1994-03-04,11966.220,3350.511
000000001362814210,13628140,CK,Y,1995-03-09,607.753,2953.755
456114321362816411,14990976,CC,Y,1991-09-09,2246.788,14700.000
000000001363377314,19087278,SV,Y,1994-07-01,855.274,7306.446
000000001362609319,25889571,SV,Y,1995-06-22,3412.845,153.109
000000001363006223,31349138,CK,Y,1995-04-05,2771.460,987.680
000000001363121321,28625541,SV,Y,1992-04-08,141.940,81.740
456114321363236423,31354428,CC,Y,1991-02-06,5933.770,1645.340
000000001362641314,19076974,SV,N,1988-11-28,195.930,581.872
000000001362551223,31338673,CK,Y,1995-09-18,363.970,2134.220
000000001362686222,29979092,CK,Y,1995-07-24,371.492,121.667
000000001362621217,23164557,CK,Y,1995-04-21,2683.890,377.363
000000001363301315,20449515,SV,Y,1995-03-23,789.723,2128.332
000000001363387218,24540966,CK,Y,1990-09-18,205.970,1046.600
456114321363204417,23174468,CC,Y,1995-08-12,19.000,3720.000
000000001363276323,31355348,SV,Y,1995-03-26,823.360,2127.380
456114321363142414,19083988,CC,Y,1995-03-07,0.000,8010.498
000000001362948216,21807168,CK,Y,1994-09-26,11495.916,574.350
000000001363219219,25901161,CK,Y,1989-03-05,19404.450,41.726
000000001362932213,17718116,CK,Y,1994-04-18,2345.755,1116.851
000000001363054215,20445810,CK,Y,1992-04-07,7394.625,258.417
456114321362959417,23170303,CC,N,1989-08-04,3113.220,62.000
456114321363441418,24541938,CC,Y,1986-08-05,883.160,119.330
000000001362625212,16351500,CK,N,1990-06-29,587.076,1119.678
000000001362588320,27251760,SV,Y,1990-10-20,1740.456,68.941
000000001363339311,14996729,SV,Y,1994-11-26,346.541,2560.152
000000001362763212,16353156,CK,Y,1995-06-23,360.240,5.712
000000001362487222,29974714,CK,Y,1995-01-12,3059.177,12751.011
000000001362830211,14991130,CK,Y,1992-10-29,216.733,2588.425
456114321362588413,17713644,CC,Y,1992-02-10,2766.045,2230.000
000000001362658321,28615818,SV,Y,1991-02-21,256.060,197.620
000000001362827213,17716751,CK,Y,1994-05-09,15673.645,38.378
000000001362768221,28618128,CK,Y,1995-05-26,2533.800,2388.770
000000001363073222,29987606,CK,Y,1988-10-25,3084.653,1145.690
000000001362480218,24524640,CK,Y,1992-12-23,360.850,173.860
000000001363490317,23179330,SV,Y,1994-11-27,2286.290,7134.743
000000001363243210,13632430,CK,Y,1991-08-30,5217.400,3834.990
456114321362753415,20441295,CC,Y,1993-01-03,5952.042,15300.000
456114321363197414,19084758,CC,Y,1993-10-10,186.102,2644.869
000000001363067310,13630670,SV,Y,1993-11-25,539.619,1297.485
000000001363210210,13632100,CK,Y,1995-06-05,3880.522,546.885
000000001363113322,29988486,SV,Y,1995-12-05,1325.632,11300.198
456114321363243419,25901617,CC,Y,1991-06-26,4616.415,341.093
000000001362525313,17712825,SV,Y,1990-10-17,1736.365,699.016
456114321363399413,17724187,CC,Y,1994-08-13,2612.691,0.000
000000001362735213,17715555,CK,Y,1995-08-13,17094.762,188.770
000000001363200320,27264000,SV,Y,1993-10-24,789.567,9636.049
456114321363201410,13632010,CC,Y,1995-11-22,0.000,4500.000
000000001363084213,17720092,CK,Y,1995-07-10,27288.655,4257.271
000000001362496311,14987456,SV,Y,1994-12-07,469.946,1230.194
000000001363408210,13634080,CK,N,1990-01-12,371.678,138.825
000000001362573216,21801168,CK,Y,1990-06-16,16405.355,1065.470
000000001363138210,13631380,CK,Y,1993-02-17,196.441,69.840
000000001363346315,20450190,SV,Y,1992-02-27,883.332,1693.608
456114321363175410,13631750,CC,Y,1994-11-30,4140.480,5168.025
000000001362940320,27258800,SV,Y,1993-09-22,1143.192,5529.764
456114321362817423,31344791,CC,Y,1987-02-11,217.660,1090.000
456114321362864415,20442960,CC,Y,1995-09-20,0.000,0.000
000000001362511213,17712643,CK,Y,1993-11-18,1154.303,26.403
456114321362512416,21800192,CC,Y,1993-01-25,1753.236,1900.460
456114321362557415,20438355,CC,Y,1995-11-10,0.000,5100.000
456114321363272418,24538896,CC,Y,1995-08-11,29.000,1103.120
000000001362721323,31342583,SV,Y,1994-03-25,178.330,138.220
000000001362899315,20443485,SV,Y,1993-04-30,4778.811,9301.227
000000001362633319,25890027,SV,Y,1992-10-23,557.010,177.754
000000001362796315,20441940,SV,Y,1989-01-15,1838.565,5546.097
000000001363252321,28628292,SV,Y,1995-02-03,200.270,140.990
000000001362887214,19080418,CK,Y,1993-03-22,1939.224,9951.438
000000001363335217,23176695,CK,Y,1995-07-11,186.530,203.484
456114321363294411,14996234,CC,Y,1995-12-26,0.000,15473.710
456114321362771420,27255420,CC,Y,1993-11-12,7780.026,8520.000
000000001362708313,17715204,SV,Y,1991-05-13,30541.785,8521.098
000000001362759221,28617939,CK,Y,1993-05-27,454.270,-36.380
000000001363395221,28631295,CK,Y,1987-01-26,2576.080,1479.900
456114321362541422,29975902,CC,Y,1995-03-10,0.000,19055.036
456114321362837415,20442555,CC,Y,1995-06-26,0.000,5610.000
456114321362726422,29979972,CC,Y,1993-11-28,2019.831,8359.806
456114321363147412,16357764,CC,Y,1991-11-06,174.804,426.279
000000001362609210,13626090,CK,N,1994-06-14,4870.213,69.210
456114321363257413,17722341,CC,Y,1995-02-12,0.000,5073.785
456114321362940411,14992340,CC,Y,1994-04-06,139.023,201.978
000000001362979219,25896601,CK,Y,1990-12-05,1143.900,905.417
456114321362775418,24529950,CC,Y,1992-05-24,495.060,716.250
456114321363482421,28633122,CC,N,1989-07-24,2938.910,314.260
456114321362625417,23164625,CC,Y,1989-01-03,3210.360,2279.399
456114321363288422,29992336,CC,Y,1993-11-16,2075.381,18026.190
000000001363123212,16357476,CK,Y,1995-03-11,9132.012,1463.154
000000001363338315,20450070,SV,Y,1993-06-22,792.666,3443.418
456114321363026421,28623546,CC,Y,1991-06-08,1442.820,2459.000
456114321362480420,27249600,CC,N,1992-12-23,11091.060,142.000
000000001362662213,17714606,CK,Y,1991-12-02,16171.649,309.992
000000001363209220,27264180,CK,N,1986-02-03,3194.010,612.091
000000001363165215,20447475,CK,Y,1990-01-20,6059.070,488.580
000000001363395317,23177715,SV,Y,1987-01-26,153.140,422.158
000000001363103210,13631030,CK,Y,1995-02-15,1141.938,134.415
000000001363438315,20451570,SV,Y,1993-03-02,416.988,486.030
000000001362950217,23170150,CK,Y,1995-02-16,182.970,505.982
456114321363044417,23171748,CC,Y,1990-06-18,169.300,1621.548
000000001363101315,20446515,SV,Y,1995-12-09,16008.354,30679.458
000000001363014313,17719182,SV,Y,1995-07-10,1049.078,389.380
000000001363323211,14996553,CK,Y,1988-05-09,22810.089,5307.386
000000001363214222,29990708,CK,Y,1991-04-19,4668.708,1227.408
000000001363199319,25900781,SV,Y,1994-03-02,533.025,779.309
456114321363433423,31358959,CC,Y,1991-04-03,590.320,90.000
456114321362631422,29977882,CC,Y,1991-06-17,835.846,5232.500
000000001362711315,20440665,SV,Y,1992-03-12,603.720,198.237
000000001362995212,16355940,CK,Y,1995-09-22,458.280,4215.393
000000001362930323,31347390,SV,Y,1993-07-28,215.400,890.420
456114321362925420,27258500,CC,Y,1993-04-20,1826.292,4274.413
456114321362546416,21800736,CC,Y,1990-02-19,7255.891,1312.630
000000001362570319,25888830,SV,Y,1995-10-31,771.975,539.896
000000001363435223,31359005,CK,Y,1989-10-29,2617.300,419.740
000000001363382220,27267640,CK,Y,1995-05-10,18591.291,10966.092
000000001363306219,25902814,CK,Y,1990-03-15,1056.420,356.314
000000001362980212,16355760,CK,Y,1993-07-10,3334.704,248.367
000000001363183212,16358196,CK,Y,1993-08-09,7393.248,587.412
000000001362925318,24532650,SV,Y,1993-03-14,621.320,1857.460
000000001362898210,13628980,CK,Y,1995-11-06,678.129,986.445
456114321363313423,31356199,CC,Y,1993-12-02,886.860,101.120
000000001362950322,29984900,SV,Y,1995-12-21,724.086,14061.502
000000001363447217,23178599,CK,Y,1994-02-12,2579.040,1072.848
000000001363337323,31356751,SV,Y,1994-06-12,542.480,7856.050
000000001362698217,23165866,CK,Y,1993-07-17,6341.890,544.205
000000001363471220,27269420,CK,Y,1995-07-07,1408.497,1092.761
456114321362644420,27252880,CC,Y,1991-07-06,1546.635,3291.915
000000001362568219,25888792,CK,Y,1995-09-26,19231.290,686.030
456114321363218417,23174706,CC,Y,1989-12-18,651.920,3410.000
000000001362682316,21802912,SV,Y,1995-04-01,744.589,263.790
000000001363097212,16357164,CK,Y,1994-11-07,264.024,54.726
456114321362672411,14989392,CC,Y,1995-08-14,0.000,1110.193
000000001363093211,14994023,CK,Y,1986-05-30,214.491,5287.884
000000001362743320,27254860,SV,Y,1995-02-13,15215.466,20484.565
000000001363265214,19085710,CK,Y,1995-12-15,4579.288,3301.279
000000001362998219,25896962,CK,Y,1993-02-13,1344.510,13.578
456114321362947419,25895993,CC,Y,1995-10-27,0.000,3100.000
000000001362857211,14991427,CK,Y,1994-07-11,192.660,36.603
000000001363337321,28630077,SV,Y,1994-06-12,552.480,7725.050
456114321362611416,21801776,CC,Y,1994-06-04,7679.289,153.870
000000001362697222,29979334,CK,Y,1995-09-01,2954.633,103.558
456114321363327418,24539886,CC,Y,1995-04-02,29.000,3087.000
456114321363217422,29990774,CC,Y,1994-10-26,628.144,8591.856
000000001362700311,14989700,SV,Y,1994-02-22,591.280,1547.812
000000001363176312,16358112,SV,Y,1994-11-29,210.348,268.947
456114321363070411,14993770,CC,Y,1994-07-01,742.102,3793.678
000000001363008223,31349184,CK,Y,1989-07-25,4925.540,113.160
456114321362607423,31339961,CC,Y,1994-01-23,1968.450,993.360
456114321362598417,23164166,CC,N,1994-06-24,1820.880,62.000
000000001362501214,19075014,CK,Y,1987-01-13,498.960,7.380
456114321362821417,23167957,CC,Y,1994-10-25,986.860,0.000
456114321363364417,23177188,CC,N,1989-11-23,1802.860,5536.507
456114321363022415,20445330,CC,Y,1995-02-01,0.000,3083.715
000000001363219217,23174723,CK,Y,1989-03-05,4331.100,41.726
000000001362588310,13625880,SV,Y,1990-10-20,479.256,43.695
000000001363161221,28626381,CK,Y,1995-02-18,2676.350,-1.910
456114321362566420,27251320,CC,N,1993-02-08,33128.487,142.000
000000001363414217,23178038,CK,Y,1993-04-08,3311.840,7558.482
456114321362767416,21804272,CC,Y,1995-04-13,0.000,310.540
000000001363339316,21813424,SV,Y,1994-11-26,565.409,542.480
000000001363043317,23171731,SV,Y,1994-12-31,541.810,4276.233
000000001363433220,27268660,CK,Y,1993-06-08,17455.482,8202.275
456114321362697411,14989667,CC,Y,1995-11-24,0.000,0.000
000000001362837320,27256740,SV,Y,1995-06-13,1172.310,3874.896
000000001363222222,29990884,CK,Y,1995-12-16,208.835,7642.271
000000001363179219,25900401,CK,Y,1994-06-16,11739.465,113.770
456114321363185414,19084590,CC,Y,1995-09-18,0.000,4100.000
000000001362735319,25891965,SV,Y,1995-09-16,530.775,895.497
456114321362801422,29981622,CC,Y,1994-02-28,433.180,411.593
000000001363025322,29986550,SV,N,1990-08-30,782.298,28545.790
456114321363213412,16358556,CC,Y,1995-03-29,0.000,2196.831
000000001363130212,16357560,CK,Y,1993-11-07,292.332,274.575
000000001362729313,17715477,SV,Y,1993-04-21,734.501,272.528
456114321362814423,31344722,CC,Y,1995-08-06,11.000,1090.000
000000001362855213,17717115,CK,Y,1994-09-02,1234.030,2388.040
000000001362898215,20443470,CK,Y,1995-11-06,963.657,1117.971
000000001363482319,25906158,SV,Y,1989-07-24,548.325,1507.840
000000001363295315,20449425,SV,Y,1989-05-03,352.782,1133.118
456114321362810413,17716530,CC,Y,1993-12-25,15160.208,742.478
000000001362772212,16353264,CK,Y,1994-08-27,4962.708,38.430
000000001362979216,21807664,CK,Y,1990-12-05,788.020,312.070
000000001363229318,24538122,SV,Y,1995-08-17,570.970,623.080
000000001362641317,23164897,SV,N,1988-11-28,158.950,439.952
456114321363035420,27260700,CC,Y,1995-08-19,0.000,0.000
456114321363093412,16357116,CC,Y,1986-05-30,305.256,2100.000
456114321362506421,28612626,CC,Y,1995-06-13,21.000,4175.530
456114321362547414,19075658,CC,Y,1995-04-16,0.000,3905.332
456114321363129413,17720677,CC,Y,1995-04-21,0.000,747.987
456114321363486411,14998346,CC,Y,1995-12-08,0.000,0.000
000000001363280315,20449200,SV,Y,1993-06-25,334.692,8705.037
000000001362500210,13625000,CK,Y,1995-12-04,1676.085,6615.630
000000001363337213,17723381,CK,Y,1995-03-05,51813.705,2632.827
000000001362749312,16352988,SV,N,1993-03-08,176.580,285.705
000000001363004311,14993044,SV,Y,1993-06-17,317.851,832.069
000000001362584319,25889096,SV,Y,1994-06-01,9146.250,6198.047
456114321362793417,23167481,CC,Y,1991-10-16,733.430,1261.948
456114321362720419,25891680,CC,Y,1995-08-07,0.000,3100.000
000000001362931223,31347413,CK,Y,1993-09-23,5602.930,803.560
000000001363169323,31352887,SV,Y,1991-07-10,162.540,243.820
000000001362860321,28620060,SV,Y,1994-05-09,2256.910,2059.680
000000001363374218,24540732,CK,Y,1995-05-16,266.330,87.000
000000001362641212,16351692,CK,Y,1988-11-28,3246.636,3290.637
456114321362721412,16352652,CC,Y,1995-10-17,0.000,2100.000
000000001362822315,20442330,SV,Y,1994-11-13,434.511,2669.493
000000001363013214,19082182,CK,Y,1995-05-23,394.268,59.614
000000001362563218,24526134,CK,N,1992-05-01,1054.990,577.560
456114321363344413,17723472,CC,Y,1993-06-22,4209.244,2230.000
000000001363376319,25904144,SV,Y,1995-02-14,1548.360,4170.864
000000001363352311,14996872,SV,Y,1992-08-24,3874.860,14456.127
000000001362976319,25896544,SV,Y,1986-11-03,914.400,427.769
000000001362705220,27254100,CK,Y,1995-02-16,24026.559,576.094
456114321362630411,14988930,CC,N,1992-03-31,3831.502,4716.838
000000001363238313,17722094,SV,Y,1991-07-11,1156.011,429.030
456114321362701410,13627010,CC,Y,1995-11-08,0.000,0.000
000000001362990313,17718870,SV,Y,1994-03-03,981.490,2482.146
000000001363262321,28628502,SV,Y,1994-07-15,1940.950,5986.350
000000001362749213,17715737,CK,Y,1993-03-08,15909.715,2047.519
456114321363103416,21809648,CC,N,1992-10-04,6223.467,533.060
000000001363371216,21813936,CK,Y,1991-05-30,8642.986,74.500
000000001363457212,16361484,CK,Y,1988-04-23,14603.856,2630.691
000000001363184222,29990048,CK,Y,1995-10-01,356.070,681.317
456114321362903421,28620963,CC,Y,1992-12-15,1580.940,1459.000
000000001362917213,17717921,CK,Y,1989-01-18,2730.848,101.354
000000001363327211,14996597,CK,Y,1995-04-02,4957.119,1154.685
000000001363185210,13631850,CK,N,1994-08-02,5154.776,3905.280
000000001363275223,31355325,CK,Y,1994-03-02,240.670,136.550
456114321363217410,13632170,CC,Y,1994-10-26,1084.976,4248.720
000000001363493218,24542874,CK,Y,1994-05-20,6152.840,2140.900
000000001362897223,31346631,CK,Y,1995-08-01,163.120,142.330
000000001362765323,31343595,SV,N,1992-11-03,164.000,1453.110
456114321363345420,27266900,CC,Y,1994-08-28,16605.264,19170.000
000000001363187215,20447805,CK,N,1990-05-07,995.490,116.994
456114321362644416,21802304,CC,Y,1991-07-06,694.865,483.650
000000001363216210,13632160,CK,Y,1993-12-31,4317.408,4569.570
456114321362991422,29985802,CC,Y,1988-11-24,707.520,12228.671
000000001362700216,21803200,CK,Y,1995-05-28,8462.721,4514.030
000000001362955318,24533190,SV,Y,1995-07-19,191.270,714.760
000000001363328311,14996608,SV,Y,1995-12-28,194.294,6411.895
456114321362808414,19079312,CC,Y,1995-12-23,0.000,6560.000
456114321363237423,31354451,CC,N,1993-01-24,8660.370,90.000
000000001362941216,21807056,CK,Y,1989-08-12,1001.486,24.540
000000001362858218,24531444,CK,Y,1995-06-15,807.240,674.990
000000001362708322,29979576,SV,Y,1991-05-13,5507.535,34772.192
456114321362805415,20442075,CC,Y,1987-01-03,763.776,1530.000
456114321362821415,20442315,CC,Y,1994-10-25,2613.222,0.000
000000001363035317,23171595,SV,Y,1995-01-13,753.380,2345.832
456114321362749423,31343227,CC,Y,1993-03-08,1402.010,3090.000
000000001362726220,27254520,CK,Y,1995-04-18,1243.932,94.927
456114321363241413,17722133,CC,Y,1992-07-18,1755.885,3016.521
000000001363314215,20449710,CK,Y,1993-05-04,5605.497,1360.068
000000001363495214,19088930,CK,Y,1995-09-27,3647.686,731.850
456114321363088410,13630880,CC,Y,1991-01-21,360.316,3329.370
000000001362622312,16351464,SV,Y,1989-04-08,11068.008,28148.736
456114321362492420,27249840,CC,Y,1995-08-09,0.000,14200.000
000000001363258213,17722354,CK,N,1994-12-15,1040.477,27.072
000000001362959217,23170303,CK,N,1991-09-07,943.760,14264.247
000000001363321317,23176457,SV,Y,1994-07-23,191.700,3129.791
000000001362563217,23163571,CK,N,1992-05-01,1044.990,1520.736
456114321362715411,14989865,CC,Y,1989-11-11,796.081,4572.778
000000001363241218,24538338,CK,Y,1993-04-28,507.790,105.370
456114321362656422,29978432,CC,Y,1993-09-23,982.575,4051.502
000000001363436221,28632156,CK,Y,1995-01-22,408.110,177.930
456114321363192414,19084688,CC,Y,1992-08-14,475.608,4100.000
000000001362814220,27256280,CK,Y,1995-03-09,2207.103,4660.369
456114321362816421,28619136,CC,Y,1991-09-09,1203.520,2959.000
456114321363175414,19084450,CC,Y,1994-11-30,3050.880,4708.645
456114321362680414,19077520,CC,Y,1995-10-01,0.000,4100.000
000000001362809211,14990899,CK,Y,1989-01-31,6078.613,5684.686
000000001362853322,29982766,SV,Y,1995-06-10,1010.504,9329.593
000000001362687218,24528366,CK,Y,1989-09-02,168.660,281.380
456114321363257416,21812112,CC,Y,1995-02-12,0.000,2295.240
456114321362548422,29976056,CC,Y,1986-11-11,7661.775,624.988
456114321363087418,24535566,CC,Y,1993-09-04,120.290,1087.000
456114321362804423,31344492,CC,Y,1987-11-09,8962.900,772.340
000000001363336215,20450040,CK,Y,1993-01-10,11758.635,995.265
456114321363447418,24542046,CC,Y,1995-10-06,29.000,1087.000
456114321362925410,13629250,CC,Y,1993-04-20,502.892,2709.135
000000001362686214,19077604,CK,Y,1995-07-24,472.808,54.817
456114321362837420,27256740,CC,Y,1995-06-26,0.000,7810.000
000000001363234323,31354382,SV,Y,1988-05-14,150.940,1008.390
456114321362902413,17717726,CC,Y,1990-11-11,1668.045,773.743
000000001363017315,20445255,SV,N,1994-04-27,5429.754,14796.885
000000001362949322,29984878,SV,Y,1994-08-03,112.893,3542.084
456114321363164410,13631640,CC,Y,1988-11-05,905.559,5400.000
